,Year,mmfrom1993-2008average,Hole Area,Minimum Ozone,co2, Population,Thickness
0,1990,-22.84739583,19.2,124.2,22849.92,5.28,2.0358976638504864
1,1991,-22.8140625,18.8,119.0,23056.4,5.37,2.0257630504352275
2,1992,-20.24739583,22.3,114.3,22988.29,5.45,2.0242294546851
3,1993,-22.78072917,24.2,112.6,23124.0,5.54,1.9343196876600102
4,1994,-17.98072917,23.6,92.3,23260.29,5.62,1.9748267025089605
5,1996,-11.94739583,22.8,108.8,24214.92,5.79,1.8969180747567844
6,1997,-2.647395833,22.1,108.8,25292.92,5.87,1.9352927611367126
7,1998,-10.8140625,25.9,98.8,24895.32,5.95,1.8308676971326163
8,1999,-0.247395833,23.3,102.9,24957.3,6.03,1.770937928827445
9,2000,2.952604167,24.8,98.7,25637.87,6.11,1.750909370199693
10,2001,4.719270833,25.0,100.9,25726.42,6.19,1.795824039938556
11,2002,2.152604167,12.0,157.4,26486.63,6.27,1.7520906746031748
12,2003,14.61927083,25.8,108.7,27308.37,6.35,1.7143319828469021
13,2004,13.65260417,19.5,123.5,28826.48,6.43,1.6889268753200204
14,2005,12.11927083,24.4,113.8,29663.75,6.51,1.6721724462365593
15,2006,9.519270833,26.6,98.4,30905.93,6.59,1.6205702828981055
16,2007,22.7859375,22.0,116.2,31608.28,6.67,1.5508038402457756
17,2008,30.45260417,25.2,114.0,31856.76,6.76,1.5437775089605736
18,2009,33.65260417,22.0,107.9,31769.89,6.84,1.5211691948284691
19,2010,33.87824005,19.4,128.5,33328.38,6.92,1.3780123399897592
20,2011,36.71847075,24.7,106.5,33226.01,7.0,1.3364793906810035
21,2012,47.17390325,17.8,139.3,33620.34,7.09,1.3355615783410137
22,2013,41.33798668,21.0,132.7,34217.18,7.18,1.3648768241167435
23,2014,53.85737212,20.9,128.6,34558.59,7.26,1.503154723502304
24,2015,50.46170567,25.6,117.2,34521.91,7.35,1.5107794290834613
25,2016,54.34696367,20.7,123.2,35160.6,7.43,1.3833477086533537
26,2017,57.35599133,17.4,141.8,35588.7,7.52,1.293282859703021
27,2018,53.08512198,22.9,111.8,36441.55,7.6,1.3803040194572453
