날짜,전지구 평균
﻿1982년 01월,18.05
﻿1982년 02월,18.1
﻿1982년 03월,18.14
﻿1982년 04월,18.08
﻿1982년 05월,18.02
﻿1982년 06월,17.89
﻿1982년 07월,17.9
﻿1982년 08월,17.96
﻿1982년 09월,17.96
﻿1982년 10월,17.87
﻿1982년 11월,17.79
﻿1982년 12월,17.93
﻿1983년 01월,18.17
﻿1983년 02월,18.31
﻿1983년 03월,18.29
﻿1983년 04월,18.21
﻿1983년 05월,18.09
﻿1983년 06월,18.03
﻿1983년 07월,17.99
﻿1983년 08월,18.07
﻿1983년 09월,18.01
﻿1983년 10월,17.85
﻿1983년 11월,17.79
﻿1983년 12월,17.86
﻿1984년 01월,18.03
﻿1984년 02월,18.19
﻿1984년 03월,18.17
﻿1984년 04월,18.1
﻿1984년 05월,17.97
﻿1984년 06월,17.89
﻿1984년 07월,17.93
﻿1984년 08월,18.02
﻿1984년 09월,18.02
﻿1984년 10월,17.76
﻿1984년 11월,17.72
﻿1984년 12월,17.77
﻿1985년 01월,17.93
﻿1985년 02월,18.06
﻿1985년 03월,18.07
﻿1985년 04월,17.96
﻿1985년 05월,17.87
﻿1985년 06월,17.79
﻿1985년 07월,17.88
﻿1985년 08월,17.88
﻿1985년 09월,17.87
﻿1985년 10월,17.74
﻿1985년 11월,17.64
﻿1985년 12월,17.74
﻿1986년 01월,17.87
﻿1986년 02월,18.05
﻿1986년 03월,18.09
﻿1986년 04월,18.02
﻿1986년 05월,17.92
﻿1986년 06월,17.91
﻿1986년 07월,17.92
﻿1986년 08월,17.96
﻿1986년 09월,17.96
﻿1986년 10월,17.85
﻿1986년 11월,17.78
﻿1986년 12월,17.82
﻿1987년 01월,18.01
﻿1987년 02월,18.17
﻿1987년 03월,18.25
﻿1987년 04월,18.16
﻿1987년 05월,18.05
﻿1987년 06월,17.96
﻿1987년 07월,18.09
﻿1987년 08월,18.18
﻿1987년 09월,18.15
﻿1987년 10월,17.95
﻿1987년 11월,17.92
﻿1987년 12월,17.97
﻿1988년 01월,18.19
﻿1988년 02월,18.34
﻿1988년 03월,18.32
﻿1988년 04월,18.21
﻿1988년 05월,18.06
﻿1988년 06월,17.99
﻿1988년 07월,18.0
﻿1988년 08월,18.06
﻿1988년 09월,17.99
﻿1988년 10월,17.84
﻿1988년 11월,17.68
﻿1988년 12월,17.73
﻿1989년 01월,17.95
﻿1989년 02월,18.08
﻿1989년 03월,18.12
﻿1989년 04월,18.07
﻿1989년 05월,17.99
﻿1989년 06월,17.9
﻿1989년 07월,18.02
﻿1989년 08월,18.06
﻿1989년 09월,18.01
﻿1989년 10월,17.82
﻿1989년 11월,17.78
﻿1989년 12월,17.84
﻿1990년 01월,18.03
﻿1990년 02월,18.26
﻿1990년 03월,18.25
﻿1990년 04월,18.22
﻿1990년 05월,18.13
﻿1990년 06월,17.99
﻿1990년 07월,18.08
﻿1990년 08월,18.15
﻿1990년 09월,18.08
﻿1990년 10월,17.96
﻿1990년 11월,17.85
﻿1990년 12월,17.94
﻿1991년 01월,18.07
﻿1991년 02월,18.25
﻿1991년 03월,18.26
﻿1991년 04월,18.25
﻿1991년 05월,18.14
﻿1991년 06월,18.04
﻿1991년 07월,18.12
﻿1991년 08월,18.12
﻿1991년 09월,18.05
﻿1991년 10월,17.87
﻿1991년 11월,17.79
﻿1991년 12월,17.92
﻿1992년 01월,18.08
﻿1992년 02월,18.25
﻿1992년 03월,18.25
﻿1992년 04월,18.19
﻿1992년 05월,18.11
﻿1992년 06월,17.98
﻿1992년 07월,17.97
﻿1992년 08월,18.0
﻿1992년 09월,17.97
﻿1992년 10월,17.77
﻿1992년 11월,17.73
﻿1992년 12월,17.82
﻿1993년 01월,18.08
﻿1993년 02월,18.2
﻿1993년 03월,18.23
﻿1993년 04월,18.13
﻿1993년 05월,18.05
﻿1993년 06월,17.95
﻿1993년 07월,17.96
﻿1993년 08월,18.06
﻿1993년 09월,18.01
﻿1993년 10월,17.88
﻿1993년 11월,17.83
﻿1993년 12월,17.89
﻿1994년 01월,18.04
﻿1994년 02월,18.11
﻿1994년 03월,18.22
﻿1994년 04월,18.12
﻿1994년 05월,18.07
﻿1994년 06월,17.92
﻿1994년 07월,18.01
﻿1994년 08월,18.16
﻿1994년 09월,18.01
﻿1994년 10월,17.91
﻿1994년 11월,17.86
﻿1994년 12월,17.93
﻿1995년 01월,18.11
﻿1995년 02월,18.26
﻿1995년 03월,18.3
﻿1995년 04월,18.22
﻿1995년 05월,18.08
﻿1995년 06월,18.06
﻿1995년 07월,18.17
﻿1995년 08월,18.18
﻿1995년 09월,18.07
﻿1995년 10월,17.93
﻿1995년 11월,17.88
