날짜,북극 해빙면적 평균(10^6km),남극 해빙면적 평균(10^6km)
﻿1981년 01월,11.91,2.84
﻿1981년 02월,12.53,1.74
﻿1981년 03월,12.71,2.16
﻿1981년 04월,12.24,4.07
﻿1981년 05월,10.99,7.08
﻿1981년 06월,9.03,10.16
﻿1981년 07월,6.31,12.78
﻿1981년 08월,4.48,14.16
﻿1981년 09월,4.44,14.78
﻿1981년 10월,6.27,14.43
﻿1981년 11월,8.31,12.07
﻿1981년 12월,10.54,7.02
﻿1982년 01월,12.19,3.25
﻿1982년 02월,12.87,1.86
﻿1982년 03월,13.07,2.84
﻿1982년 04월,12.63,5.79
﻿1982년 05월,11.17,8.27
﻿1982년 06월,9.46,10.5
﻿1982년 07월,6.87,12.47
﻿1982년 08월,5.0,14.28
﻿1982년 09월,4.43,14.53
﻿1982년 10월,6.67,13.74
﻿1982년 11월,9.06,11.27
﻿1982년 12월,10.88,6.31
﻿1983년 01월,12.01,3.21
﻿1983년 02월,12.94,1.91
﻿1983년 03월,12.93,2.62
﻿1983년 04월,12.21,4.7
﻿1983년 05월,10.87,7.16
﻿1983년 06월,9.27,9.77
﻿1983년 07월,6.86,12.37
﻿1983년 08월,4.97,13.84
﻿1983년 09월,4.7,14.68
﻿1983년 10월,6.79,13.92
﻿1983년 11월,8.99,11.57
﻿1983년 12월,10.63,6.71
﻿1984년 01월,11.68,2.93
﻿1984년 02월,12.26,1.75
﻿1984년 03월,12.55,2.34
﻿1984년 04월,12.18,4.53
﻿1984년 05월,10.88,7.41
﻿1984년 06월,9.09,10.64
﻿1984년 07월,6.3,13.38
﻿1984년 08월,4.68,14.23
﻿1984년 09월,4.11,14.27
﻿1984년 10월,5.91,13.73
﻿1984년 11월,8.24,12.06
﻿1984년 12월,10.27,6.96
﻿1985년 01월,11.69,2.87
﻿1985년 02월,12.48,1.83
﻿1985년 03월,12.75,2.54
﻿1985년 04월,12.54,4.74
﻿1985년 05월,11.25,7.84
﻿1985년 06월,8.96,10.51
﻿1985년 07월,5.99,12.48
﻿1985년 08월,4.6,14.24
﻿1985년 09월,4.23,14.72
﻿1985년 10월,6.12,14.37
﻿1985년 11월,8.42,12.34
﻿1985년 12월,10.24,7.46
﻿1986년 01월,11.88,3.43
﻿1986년 02월,12.62,2.0
﻿1986년 03월,12.72,2.38
﻿1986년 04월,12.04,4.56
﻿1986년 05월,10.7,7.04
﻿1986년 06월,8.99,9.72
﻿1986년 07월,6.62,12.09
﻿1986년 08월,5.01,13.46
﻿1986년 09월,4.72,13.88
﻿1986년 10월,6.83,13.32
﻿1986년 11월,8.87,10.87
﻿1986년 12월,10.53,6.49
﻿1987년 01월,11.9,3.31
﻿1987년 02월,13.02,2.0
﻿1987년 03월,12.83,2.75
﻿1987년 04월,12.35,5.04
﻿1987년 05월,10.97,7.53
﻿1987년 06월,9.39,9.91
﻿1987년 07월,6.55,12.5
﻿1987년 08월,nan,14.02
﻿1987년 09월,5.64,14.27
﻿1987년 10월,7.49,13.71
﻿1987년 11월,9.73,11.23
﻿1987년 12월,nan,nan
﻿1988년 01월,nan,nan
﻿1988년 02월,13.57,1.9
﻿1988년 03월,13.9,2.59
﻿1988년 04월,13.18,4.44
﻿1988년 05월,11.41,7.23
﻿1988년 06월,9.68,10.28
﻿1988년 07월,7.01,12.62
﻿1988년 08월,5.42,13.98
﻿1988년 09월,5.36,14.2
﻿1988년 10월,7.52,14.41
