날짜,전지구 평균
﻿1981년 01월,97.6
﻿1981년 02월,88.4
﻿1981년 03월,95.4
﻿1981년 04월,91.6
﻿1981년 05월,96.7
﻿1981년 06월,95.0
﻿1981년 07월,95.5
﻿1981년 08월,96.9
﻿1981년 09월,92.1
﻿1981년 10월,95.9
﻿1981년 11월,94.2
﻿1981년 12월,98.1
﻿1982년 01월,97.6
﻿1982년 02월,86.0
﻿1982년 03월,94.8
﻿1982년 04월,90.8
﻿1982년 05월,96.9
﻿1982년 06월,97.6
﻿1982년 07월,98.6
﻿1982년 08월,97.7
﻿1982년 09월,93.3
﻿1982년 10월,97.9
﻿1982년 11월,96.9
﻿1982년 12월,100.5
﻿1983년 01월,102.3
﻿1983년 02월,91.2
﻿1983년 03월,96.8
﻿1983년 04월,93.2
﻿1983년 05월,96.4
﻿1983년 06월,95.8
﻿1983년 07월,98.8
﻿1983년 08월,97.1
﻿1983년 09월,92.6
﻿1983년 10월,93.9
﻿1983년 11월,92.9
﻿1983년 12월,96.5
﻿1984년 01월,95.0
﻿1984년 02월,89.8
﻿1984년 03월,92.6
﻿1984년 04월,91.8
﻿1984년 05월,95.3
﻿1984년 06월,92.3
﻿1984년 07월,94.1
﻿1984년 08월,95.3
﻿1984년 09월,89.5
﻿1984년 10월,95.1
﻿1984년 11월,93.4
﻿1984년 12월,98.5
﻿1985년 01월,96.7
﻿1985년 02월,87.9
﻿1985년 03월,93.6
﻿1985년 04월,90.0
﻿1985년 05월,96.6
﻿1985년 06월,93.3
﻿1985년 07월,93.9
﻿1985년 08월,95.6
﻿1985년 09월,91.4
﻿1985년 10월,93.3
﻿1985년 11월,92.1
﻿1985년 12월,96.3
﻿1986년 01월,97.1
﻿1986년 02월,84.4
﻿1986년 03월,95.8
﻿1986년 04월,89.4
﻿1986년 05월,97.1
﻿1986년 06월,93.8
﻿1986년 07월,95.8
﻿1986년 08월,96.5
﻿1986년 09월,89.8
﻿1986년 10월,93.9
﻿1986년 11월,94.9
﻿1986년 12월,100.4
﻿1987년 01월,99.8
﻿1987년 02월,88.5
﻿1987년 03월,94.7
﻿1987년 04월,94.2
﻿1987년 05월,97.6
﻿1987년 06월,97.6
﻿1987년 07월,100.3
﻿1987년 08월,95.7
﻿1987년 09월,92.1
﻿1987년 10월,96.7
﻿1987년 11월,92.4
﻿1987년 12월,98.8
﻿1988년 01월,97.1
﻿1988년 02월,87.1
﻿1988년 03월,92.8
